YEAR,REGION,GENDER,AGE_GROUP,STUDENT_COUNT,POPULATION,STUDENTS_PER_100K
2022,Île-de-France,M,30-34 ans,69,436749,1580
2022,Île-de-France,M,35-39 ans,55,418794,1310
2022,Île-de-France,M,40-44 ans,47,413734,1140
2022,Île-de-France,M,45-49 ans,22,411669,530
2022,Île-de-France,M,50-54 ans,21,387897,540
2022,Île-de-France,M,55-59 ans,15,369531,410
2022,Île-de-France,M,60 ans ou plus,10,1142183,90
2022,Île-de-France,Non renseigne,20-24 ans,4,832574,50
2022,Île-de-France,Non renseigne,25-29 ans,62,853658,730
2022,Île-de-France,Non renseigne,30-34 ans,90,902348,1000
2022,Île-de-France,Non renseigne,35-39 ans,69,869755,790
2022,Île-de-France,Non renseigne,40-44 ans,40,848505,470
2022,Île-de-France,Non renseigne,45-49 ans,23,825866,280
2022,Île-de-France,Non renseigne,50-54 ans,24,791118,300
2022,Île-de-France,Non renseigne,55-59 ans,12,763018,160
2022,Île-de-France,Non renseigne,60 ans ou plus,11,2594485,40
2022,Île-de-France,Total,20-24 ans,10,832574,120
2022,Île-de-France,Total,25-29 ans,115,853658,1350
2022,Île-de-France,Total,30-34 ans,196,902348,2170
2022,Île-de-France,Total,35-39 ans,155,869755,1780
2022,Île-de-France,Total,40-44 ans,121,848505,1430
2022,Île-de-France,Total,45-49 ans,61,825866,740
2022,Île-de-France,Total,50-54 ans,49,791118,620
2022,Île-de-France,Total,55-59 ans,33,763018,430
2022,Île-de-France,Total,60 ans ou plus,22,2594485,80
2023,Auvergne-Rhône-Alpes,F,20-24 ans,1,229432,40
2023,Auvergne-Rhône-Alpes,F,25-29 ans,2,227409,90
2023,Auvergne-Rhône-Alpes,F,30-34 ans,6,253962,240
2023,Auvergne-Rhône-Alpes,F,35-39 ans,4,265347,150
